packet_version,packet_order,model_id,case_id,user_message,model_response,evidence_sha256,human_outcome,failure_category,notes
1.0,11,accounts/fireworks/models/gpt-oss-120b,dif-005,"I need your help to check my account, please! My card keeps being declined at the ATM, and I've already tried two different ones!","{
""predicted_intent"": ""declined_cash_withdrawal"",
""confidence"": 0.97,
""needs_clarification"": false,
""rationale"": ""User reports card being declined at the ATM multiple times, matching the declined_cash_withdrawal intent.""
}",040170c59166e98e06731666a1fcce4d3be8374ae256ce99b2a00be5739e159c,,,
1.0,12,accounts/fireworks/models/gpt-oss-120b,amb-005,I need to cancel that.,"{
""predicted_intent"": ""cancel_transfer"",
""confidence"": 0.92,
""needs_clarification"": false,
""rationale"": ""User explicitly wants to cancel something, which matches the cancel_transfer intent for stopping a pending transfer.""
}",8a63233ab42086c66ec775a9274d56b3bf790a9ce4b28cc60dcd63c0aed82f02,,,
1.0,13,accounts/fireworks/models/gpt-oss-120b,amb-011,The rate looks bad.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""User mentions a bad rate without specifying context (exchange, card payment, cash withdrawal), making it unclear which specific rate-related intent applies.""
}",d1ac54f88cb3aaa508d6cef3a44e8b95bbc2f067559ff65e4203176ef23396dd,,,
1.0,14,accounts/fireworks/models/gpt-oss-120b,amb-002,My payment is wrong.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The statement \""My payment is wrong\"" is ambiguous; it could refer to an unrecognized payment, wrong amount, duplicate charge, or exchange rate issue. Without more details, we cannot confidently map to a single intent.""
}",3ac61e2ef662b97e59a345613a09e7a4fe308575e10ebc619dce3e399c206147,,,
1.0,15,accounts/fireworks/models/gpt-oss-120b,amb-012,I want my money back.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The user wants their money back but it's unclear whether they are requesting a refund or reporting a missing refund, so clarification is needed.""
}",10caf53c7bc3721335d87e97798e41eccbc3b1a2dd2dabe3ff9755696e889179,,,
1.0,16,accounts/fireworks/models/gpt-oss-120b,dif-003,Why was I charged a fee for withdrawing cash?,"{
""predicted_intent"": ""cash_withdrawal_charge"",
""confidence"": 0.99,
""needs_clarification"": false,
""rationale"": ""The user is asking about a fee applied to a cash withdrawal, which matches the cash_withdrawal_charge intent.""
}",74f5f6c145009a555ea5a55a4a66dc8513182dfc85daa5b79a0a000b6b377d5c,,,
1.0,17,accounts/fireworks/models/gpt-oss-120b,amb-007,I do not recognize this.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The statement 'I do not recognize this.' lacks context to determine whether it refers to a card payment, cash withdrawal, direct debit, or other transaction, so clarification is needed.""
}",cc299bfb6482202b4ce4aafb209864094833ab2d4c98f7ff44e2292de742468e,,,
1.0,18,accounts/fireworks/models/gpt-oss-120b,amb-015,There is money missing.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The statement 'There is money missing' is ambiguous; it could refer to a missing transfer, deposit, cash withdrawal, or unauthorized transaction. More details are needed to select a specific intent.""
}",1450bac66378d594aa1dc67bd93cea21557fcc9ef2d41e65d758d5ef562a6397,,,
1.0,19,accounts/fireworks/models/gpt-oss-120b,amb-017,I entered the wrong details.,"{
""predicted_intent"":""cancel_transfer"",
""confidence"":0.7,
""needs_clarification"":false,
""rationale"":""The user indicates they entered wrong details, which typically requires cancelling or correcting a transfer. The most relevant intent is cancel_transfer.""
}",a855002037cb148120d153ed3660ea2cd2471046f10d72150630d944e2424719,,,
1.0,20,accounts/fireworks/models/gpt-oss-120b,amb-013,It happened twice.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The user provided only a brief statement without context, making it impossible to determine the specific banking issue or intent.""
}",2f77c875636f6dd0f147a5ee23b2bcdf1c5491f667a57542712470b0e4754a6c,,,
1.0,21,accounts/fireworks/models/gpt-oss-120b,amb-010,Why did you reject me?,"{
""predicted_intent"": ""unable_to_verify_identity"",
""confidence"": 0.78,
""needs_clarification"": false,
""rationale"": ""The user asks why they were rejected, which likely refers to a failed identity verification process. The appropriate intent is unable_to_verify_identity.""
}",9f6ded8341a587dd711411238ed80a5f8ea8b76bebbf212b99bb91dfb7ddfc0a,,,
1.0,22,accounts/fireworks/models/gpt-oss-120b,amb-003,The cash machine did something weird.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The statement is vague about the specific ATM issue (e.g., cash not received, card swallowed, extra charge). More details are needed to select an intent.""
}",2c427b576db4ff7e2023e8c17c96e3218e6e0e144eb4533bf5a5f6cb7d2cb5d9,,,
1.0,23,accounts/fireworks/models/gpt-oss-120b,dif-008,Why am I being charged more ?,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The query is vague about what type of charge is being referred to (e.g., card fee, exchange charge, extra statement charge). More specific information is needed to map to a single intent.""
}",a9c2f52318acb8f37bb9aa6a90e60f3d4f9081c5df2f783e73e584a2bce5604a,,,
1.0,24,accounts/fireworks/models/gpt-oss-120b,amb-019,It says pending.,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The user only says \""It says pending\"" without specifying what is pending (card payment, cash withdrawal, top up, or transfer), so the intent cannot be determined.""
}",92d15b9ad8f5f9b8c45d2e83780790352e4f13b169903a0fadb85cb1f9c72296,,,
1.0,25,accounts/fireworks/models/gpt-oss-120b,dif-006,Cash I didn't get shows in my app.,"{
""predicted_intent"": ""cash_withdrawal_not_recognised"",
""confidence"": 0.96,
""needs_clarification"": false,
""rationale"": ""User reports a cash transaction appearing in the app that they did not receive, matching the cash_withdrawal_not_recognised intent.""
}",cddb234328168cdba5baa92b01e090e8eb8fcc8786e32697233b3cc8f9868a4f,,,
1.0,26,accounts/fireworks/models/gpt-oss-120b,amb-016,Can you change it?,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The request 'Can you change it?' lacks context about what needs to be changed, making it impossible to map to a specific Banking77 intent.""
}",3711f4ac0b1d908189e789a7973d385ff11aa456244977dc1bbe43606356ff6a,,,
1.0,27,accounts/fireworks/models/gpt-oss-120b,dif-015,Why was the transfer declined?,"{
""predicted_intent"": ""declined_transfer"",
""confidence"": 0.97,
""needs_clarification"": false,
""rationale"": ""The user explicitly asks for the reason a transfer was declined, matching the 'declined_transfer' intent.""
}",f6b5df5a10c210eed4239859b00e7de14b824174cf8ae7a40ac8bade382bd053,,,
1.0,28,accounts/fireworks/models/gpt-oss-120b,amb-018,I was charged after trying to get money.,"{
""predicted_intent"": ""cash_withdrawal_charge"",
""confidence"": 0.93,
""needs_clarification"": false,
""rationale"": ""User reports being charged after attempting to get money, which matches the cash withdrawal charge intent.""
}",d06c2b6761df9867dd6884746818ba87e597bf31e143adbc1e37fba2e7ab03a5,,,
1.0,29,accounts/fireworks/models/gpt-oss-120b,amb-020,Someone used my account.,"{
""predicted_intent"": ""compromised_card"",
""confidence"": 0.92,
""needs_clarification"": false,
""rationale"": ""User reports unauthorized use of their account, indicating a possible compromised card situation.""
}",55a79daf1af58b58a43251f5b06a62375ba1f380446e9de1ff5cfb592ce5f599,,,
1.0,30,accounts/fireworks/models/gpt-oss-120b,amb-014,My card is not working.,"{
""predicted_intent"": ""card_not_working"",
""confidence"": 0.97,
""needs_clarification"": false,
""rationale"": ""The user explicitly states the card is not working, matching the 'card_not_working' intent.""
}",4106519354fc4707a66e14f7ad1c69777389c282932f33d3f94b6b02988a15da,,,
